Best parameters:
no_components 12
max_sampled 15
learning_rate 0.14815656638106434
epochs 15
Result: 14.080979306183869

All:
[224, 5, 2.03356781184508e-05, 6] 137.46482485559886
[20, 5, 0.013877212573012852, 17] 23.321605570325932
[248, 11, 0.00011187410610536589, 5] 139.7786714699463
[172, 12, 0.2448837143030255, 18] 23.704171261943348
[29, 1, 1.3228048129676203e-05, 11] 162.60567044772154
[237, 2, 6.313215111787939e-05, 7] 140.9340809322767
[223, 14, 0.00047101281795375777, 3] 141.72231538136558
[28, 11, 0.004113356305656765, 9] 129.62104305585467
[127, 9, 0.056129688436596194, 6] 20.9584613268126
[108, 4, 0.03924352722264104, 2] 131.7751163807057
[394, 12, 9.013275218337132e-05, 6] 142.0279722246097
[24, 13, 0.1748131778253074, 5] 15.41740114788257
[387, 2, 1.1674687178699072e-05, 7] 138.44074501029638
[303, 6, 0.00023711754872178837, 19] 135.62904738809632
[357, 11, 0.0005812681963450031, 18] 134.3201254210916
[145, 10, 0.7970706982715217, 16] 29.546706482531462
[108, 2, 0.0005044996027433357, 16] 133.9952586859998
[186, 11, 0.0003680011748533584, 12] 134.48230295093074
[391, 3, 0.0011425230677621723, 9] 134.8670428346336
[29, 12, 0.0034745381856385754, 1] 147.02537977414048
[146, 13, 0.4627353169993145, 20] 31.363110471085815
[134, 14, 0.5408326925909233, 20] 32.44408531194228
[134, 13, 0.85881426818398, 15] 27.42535299510105
[135, 14, 0.7939562480111113, 15] 28.541912766453237
[107, 13, 0.2064400425856484, 15] 18.57399928057146
[59, 13, 0.1741555327997156, 16] 16.04097163564185
[107, 14, 0.15222634299531768, 15] 16.36679081722373
[75, 14, 0.15630440042025662, 15] 16.01302910093923
[12, 15, 0.14815656638106434, 15] 14.080979306183869
[48, 13, 0.16933226932039955, 16] 15.72897386241886
[40, 14, 0.16362959975912664, 14] 14.907809704341803
[17, 15, 0.19926315632933417, 15] 14.690180402493178
[3, 14, 0.1502859624622504, 15] 17.553492508473536
[30, 14, 0.180919244564129, 15] 15.115528463801711
[26, 15, 0.14814068855519075, 15] 14.393822649717274
[36, 15, 0.16060835726730077, 15] 14.642256315641754
