Best parameters:
factors 29
regularization 0.001220394617777208
iterations 5
Result: 24.292331622925484

All:
[224, 0.0024115432736556107, 2] 60.25193272975387
[102, 0.0004060335113308686, 4] 41.433075898712936
[367, 0.008890629900804877, 11] 66.48609873577173
[150, 0.00018987775539178753, 3] 55.365593165639005
[172, 0.024012506131859745, 16] 50.445995399026486
[146, 0.6680159073371741, 16] 35.16442978050795
[223, 0.004865416686928938, 10] 66.17368696510832
[28, 0.0014923649170967607, 9] 25.95300150670755
[127, 1.658232475751382e-05, 6] 51.7661579447714
[315, 0.19374898257946557, 6] 26.88889732018147
[108, 0.0007159099326975686, 10] 46.7133208784031
[194, 0.0014990789826137964, 10] 68.16543562978211
[387, 0.057482023751361855, 2] 72.3793744609627
[39, 0.00025153754094594334, 6] 25.001440574810335
[142, 0.02810853626666577, 5] 46.95948025369436
[326, 0.026430652335008666, 18] 28.59917815470908
[145, 0.0012532710653926423, 20] 59.59133629551145
[108, 1.9542590862866494e-05, 15] 49.00209600679718
[391, 0.00010231805008368577, 9] 131.83296940946437
[29, 0.001220394617777208, 5] 24.292331622925484
[34, 0.013305568240530613, 9] 25.53866436215252
[4, 0.0013444335517442448, 6] 47.295046839734425
[29, 0.010898062322717485, 6] 26.33741995499526
[21, 0.003316612266630144, 6] 25.492092049934303
[30, 4.139742730380896e-05, 8] 25.65911514169558
[12, 0.00017501225485591098, 8] 33.97497355716559
[30, 0.0001214112481296708, 8] 26.051331024084845
[29, 0.00012376594335084743, 8] 25.484832959776327
[32, 0.00010014385004283592, 8] 26.321387365763243
[29, 0.0001702111840118134, 8] 25.998119682647758
[35, 7.70722782582884e-05, 8] 24.91380986235455
[34, 0.00014032059078588157, 8] 26.386560113097534
[36, 0.00012730241655611185, 9] 25.501751084386513
[35, 2.1778828380423786e-05, 10] 25.15769334583989
[35, 0.00014122299022312364, 10] 26.076448369243014
[38, 9.980865827367738e-05, 9] 26.514402876934696
