Best:
Paramaters: [357, 11, 0.0005812681963450031, 18]
Result: 51.072299651567945

All:
[224, 5, 2.03356781184508e-05, 6] 52.1340674707219
[20, 5, 0.013877212573012852, 17] 52.063903581028356
[248, 11, 0.00011187410610536589, 5] 52.24285463790987
[172, 12, 0.2448837143030255, 18] 51.69820526224081
[29, 1, 1.3228048129676203e-05, 11] 55.53326376206627
[237, 2, 6.313215111787939e-05, 7] 52.36589886153031
[223, 14, 0.00047101281795375777, 3] 51.23382997370727
[28, 11, 0.004113356305656765, 9] 52.63772037004713
[127, 9, 0.056129688436596194, 6] 51.79987770789658
[108, 4, 0.03924352722264104, 2] 52.409477095559254
[394, 12, 9.013275218337132e-05, 6] 51.73429364803888
[24, 13, 0.1748131778253074, 5] 51.343027330063066
[387, 2, 1.1674687178699072e-05, 7] 52.180969162995595
[303, 6, 0.00023711754872178837, 19] 51.88967094844272
[357, 11, 0.0005812681963450031, 18] 51.072299651567945
[145, 10, 0.7970706982715217, 16] 52.052051704693326
[108, 2, 0.0005044996027433357, 16] 51.551262102351316
[186, 11, 0.0003680011748533584, 12] 52.67834728033473
[391, 3, 0.0011425230677621723, 9] 51.939563318777296
[29, 12, 0.0034745381856385754, 1] 52.83927012397416
[399, 2, 0.0011546498842527977, 3] 52.82069868995633
[25, 2, 0.0002985525791633844, 2] 52.27935116177115
[28, 3, 0.0014113529184226982, 1] 52.238293352217404
[16, 1, 0.0008989774723755568, 2] 52.55583957690612
[399, 15, 1.3493586320946956e-05, 18] 52.08480813036622
[391, 13, 1.462780792652306e-05, 20] 52.59709602707999
[380, 6, 1.8584561532387683e-05, 20] 51.4728812064556
[379, 13, 1.7629994489316337e-05, 18] 52.25503531258174
[386, 13, 1.7156584040142308e-05, 18] 51.69941094941095
[395, 13, 2.2622313432936097e-05, 18] 52.16082277382399
[26, 2, 4.205954118200754e-05, 18] 52.323457437510925
[31, 2, 3.836906467225798e-05, 19] 52.01798969522312
[23, 1, 4.247630206862653e-05, 20] 53.17169230769231
[31, 1, 9.625212009167407e-05, 18] 51.86253416806278
[26, 1, 0.00020228549951835283, 18] 51.929065592433666
[71, 1, 1.0266129304905384e-05, 15] 51.75690511457698
