Best parameters:
no_components 5
max_sampled 15
learning_rate 0.14087635470326193
epochs 18
Result: 10.77049463853338

All:
[224, 5, 2.03356781184508e-05, 6] 102.74568927402953
[20, 5, 0.013877212573012852, 17] 14.517122698330752
[248, 11, 0.00011187410610536589, 5] 97.7228496959166
[172, 12, 0.2448837143030255, 18] 15.658962551047006
[29, 1, 1.3228048129676203e-05, 11] 117.77668700804811
[237, 2, 6.313215111787939e-05, 7] 97.8982056892779
[223, 14, 0.00047101281795375777, 3] 98.69893137860991
[28, 11, 0.004113356305656765, 9] 92.34981523843041
[127, 9, 0.056129688436596194, 6] 13.370949427897633
[108, 4, 0.03924352722264104, 2] 89.15737878654068
[394, 12, 9.013275218337132e-05, 6] 98.01293661060802
[24, 13, 0.1748131778253074, 5] 11.690818293323987
[387, 2, 1.1674687178699072e-05, 7] 102.86126717953151
[303, 6, 0.00023711754872178837, 19] 95.60441662319596
[357, 11, 0.0005812681963450031, 18] 92.99683377308708
[145, 10, 0.7970706982715217, 16] 24.657226303212674
[108, 2, 0.0005044996027433357, 16] 102.14031690140845
[186, 11, 0.0003680011748533584, 12] 94.11261813090654
[391, 3, 0.0011425230677621723, 9] 94.13106963884569
[29, 12, 0.0034745381856385754, 1] 106.23529928803727
[139, 12, 0.705844219346683, 20] 27.311618476727787
[138, 15, 0.23689889072950404, 19] 15.482265144863916
[142, 15, 0.3114187911286198, 18] 18.382925134618723
[151, 15, 0.20916291886725144, 17] 14.35658711425824
[147, 15, 0.1895897112804216, 17] 13.202423063318005
[2, 15, 0.19653927161998364, 18] 15.497635312664215
[167, 15, 0.1639500539583687, 17] 12.642807140357018
[157, 15, 0.19294908436528513, 17] 13.616546636219919
[43, 15, 0.16463707450425852, 17] 11.41163546884612
[70, 15, 0.20544391652974903, 16] 12.654006605249435
[5, 15, 0.14087635470326193, 18] 10.77049463853338
[103, 15, 0.16128574721376046, 16] 11.941540877759358
[23, 15, 0.13617937042813477, 19] 10.849875397439202
[34, 15, 0.14111437240376087, 19] 11.321375836011466
[33, 15, 0.1292717906047388, 18] 10.977381470204437
[37, 15, 0.1866194485160036, 16] 11.648764953954728
