Best parameters:
factors 28
regularization 0.0018582987596502205
iterations 8
Result: 12.753270538984825

All:
[224, 0.0024115432736556107, 2] 45.12460063897763
[102, 0.0004060335113308686, 4] 31.74521625163827
[367, 0.008890629900804877, 11] 32.87644483362522
[150, 0.00018987775539178753, 3] 45.16364908597918
[172, 0.024012506131859745, 16] 26.240017667844523
[146, 0.6680159073371741, 16] 22.55259965337955
[223, 0.004865416686928938, 10] 76.07653017054801
[28, 0.0014923649170967607, 9] 13.661107750799275
[127, 1.658232475751382e-05, 6] 43.838557993730404
[315, 0.19374898257946557, 6] 16.025816049706833
[108, 0.0007159099326975686, 10] 36.64423922603342
[194, 0.0014990789826137964, 10] 50.05596000350847
[387, 0.057482023751361855, 2] 50.845187917105726
[39, 0.00025153754094594334, 6] 13.676521588347494
[142, 0.02810853626666577, 5] 34.32634073553937
[326, 0.026430652335008666, 18] 18.91699570062297
[145, 0.0012532710653926423, 20] 43.63081904095205
[108, 1.9542590862866494e-05, 15] 36.307604994324635
[391, 0.00010231805008368577, 9] 89.90880530587312
[29, 0.001220394617777208, 5] 13.713232104121476
[46, 0.0050315127888640706, 8] 14.670096852300242
[43, 0.002926323208305332, 9] 14.28146131553526
[53, 0.0023156622231336973, 10] 18.609660914057756
[43, 0.002454615281975274, 8] 14.616856210878955
[17, 0.00163389242791453, 8] 19.67972430640377
[16, 0.002531045104821816, 8] 20.966233312974435
[28, 0.0018582987596502205, 8] 12.753270538984825
[6, 0.0015600585245027273, 8] 38.6207106775823
[4, 0.0025495895823084147, 8] 43.29435728525613
[2, 0.004736196294536524, 8] 57.31479238754325
[29, 9.155242754989766e-05, 10] 12.972759538598048
[29, 1.0351167936834243e-05, 9] 13.757815244116614
[24, 2.8601000219374052e-05, 9] 14.962079510703363
[29, 1.832952617050177e-05, 3] 12.807292584111327
[51, 5.536647321873968e-05, 10] 17.74025974025974
[58, 1.3508229948540842e-05, 8] 19.430253860246008
